期刊名称,简称,CCF等级,CCF领域,中科院大类,中科院大类分区,中科院 Top,WOS索引,中科院小类分区,特殊标注,数据来源,JCR类别,JCR影响因子2024,JCR分区2024
Additive Manufacturing,,,,工程技术,1区,是,SCIE,"ENGINEERING, MANUFACTURING 工程：制造::2区 [5/70] | MATERIALS SCIENCE, MULTIDISCIPLINARY 材料科学：综合::2区 [49/436]",,中科院2025,,,
ADSORPTION SCIENCE & TECHNOLOGY,,,,工程技术,4区,否,SCIE,"CHEMISTRY, APPLIED 应用化学::4区 [64/74] | ENGINEERING, CHEMICAL 工程：化工::4区 [149/169]",,中科院2025,,,
ADSORPTION-JOURNAL OF THE INTERNATIONAL ADSORPTION SOCIETY,,,,工程技术,4区,否,SCIE,"CHEMISTRY, PHYSICAL 物理化学::4区 [59/104] | ENGINEERING, CHEMICAL 工程：化工::4区 [91/169]",,中科院2025,,,
Advanced Electromagnetics,,,,工程技术,4区,否,ESCI,"ENGINEERING, ELECTRICAL & ELECTRONIC 工程：电子与电气::4区 [303/352]",,中科院2025,,,
ADVANCED ENGINEERING INFORMATICS,AEI,B,数据库/数据挖掘/内容检索,工程技术,1区,是,SCIE,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE 计算机：人工智能::1区 [7/196] | ENGINEERING, MULTIDISCIPLINARY 工程：综合::1区 [2/179]",,中科院2025|CCF2026|JCR2024,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(SCIE);ENGINEERING, MULTIDISCIPLINARY(SCIE)",9.9,Q1
Advanced Intelligent Systems,,,,计算机科学,3区,否,SCIE,"AUTOMATION & CONTROL SYSTEMS 自动化与控制系统::3区 [23/83] | COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE 计算机：人工智能::3区 [63/196] | ROBOTICS 机器人学::3区 [17/47]",,中科院2025|JCR2024,"AUTOMATION & CONTROL SYSTEMS(SCIE);COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(SCIE);ROBOTICS(SCIE)",6.1,Q1
Advanced Manufacturing-Polymer & Composites Science,,,,工程技术,4区,否,ESCI,"ENGINEERING, MANUFACTURING 工程：制造::4区 [56/70]",,中科院2025,,,
Advanced Modeling and Simulation in Engineering Sciences,,,,工程技术,3区,否,ESCI,MECHANICS 力学::3区 [67/171],,中科院2025,,,
ADVANCED POWDER TECHNOLOGY,,,,工程技术,3区,否,SCIE,"ENGINEERING, CHEMICAL 工程：化工::2区 [43/169]",,中科院2025,,,
ADVANCED ROBOTICS,,,,计算机科学,4区,否,SCIE,ROBOTICS 机器人学::4区 [31/47],,中科院2025|JCR2024,ROBOTICS(SCIE),2,Q3
Advanced Steel Construction,,,,工程技术,4区,否,SCIE,"MATERIALS SCIENCE, CHARACTERIZATION & TESTING 材料科学：表征与测试::3区 [15/38] | CONSTRUCTION & BUILDING TECHNOLOGY 结构与建筑技术::4区 [44/91] | ENGINEERING, CIVIL 工程：土木::4区 [89/180]",,中科院2025,,,
Advanced Theory and Simulations,,,,工程技术,3区,否,SCIE,MULTIDISCIPLINARY SCIENCES 综合性期刊::4区 [46/131],,中科院2025,,,
Advances in Aerodynamics,,,,工程技术,2区,否,ESCI,"ENGINEERING, MECHANICAL 工程：机械::2区 [37/181] | MECHANICS 力学::2区 [39/171] | PHYSICS, FLUIDS & PLASMAS 物理：流体与等离子体::2区 [7/40]",中国SCI期刊支持计划,中科院2025,,,
Advances in Aircraft and Spacecraft Science,,,,工程技术,4区,否,ESCI,"ENGINEERING, AEROSPACE 工程：宇航::4区 [45/53]",,中科院2025,,,
Advances in Applied Energy,,,,工程技术,1区,是,ESCI,ENERGY & FUELS 能源与燃料::1区 [9/171],,中科院2025,,,
Advances in Applied Mathematics and Mechanics,,,,工程技术,4区,否,SCIE,"MATHEMATICS, APPLIED 应用数学::4区 [241/330] | MECHANICS 力学::4区 [102/171]",,中科院2025,,,
Advances in Building Energy Research,,,,工程技术,4区,否,ESCI,CONSTRUCTION & BUILDING TECHNOLOGY 结构与建筑技术::4区 [48/91],,中科院2025,,,
ADVANCES IN CEMENT RESEARCH,,,,工程技术,4区,否,SCIE,"CONSTRUCTION & BUILDING TECHNOLOGY 结构与建筑技术::4区 [71/91] | MATERIALS SCIENCE, MULTIDISCIPLINARY 材料科学：综合::4区 [359/436]",,中科院2025,,,
Advances in Civil and Architectural Engineering,,,,工程技术,4区,否,ESCI,"ENGINEERING, CIVIL 工程：土木::4区 [151/180]",,中科院2025,,,
Advances in Civil Engineering,,,,工程技术,4区,否,SCIE,"CONSTRUCTION & BUILDING TECHNOLOGY 结构与建筑技术::4区 [67/91] | ENGINEERING, CIVIL 工程：土木::4区 [132/180]",,中科院2025,,,
"Advances in Computational Design, An International Journal",,,,计算机科学,4区,否,ESCI,"COMPUTER SCIENCE, SOFTWARE ENGINEERING 计算机：软件工程::4区 [126/131]",,中科院2025|JCR2024,"COMPUTER SCIENCE, SOFTWARE ENGINEERING(ESCI)",0.6,Q4
Advances in Concrete Construction,,,,工程技术,4区,否,SCIE,"CONSTRUCTION & BUILDING TECHNOLOGY 结构与建筑技术::4区 [56/91] | ENGINEERING, CIVIL 工程：土木::4区 [120/180] | MATERIALS SCIENCE, MULTIDISCIPLINARY 材料科学：综合::4区 [323/436]",,中科院2025,,,
Advances in Data Analysis and Classification,,,,计算机科学,4区,否,SCIE,STATISTICS & PROBABILITY 统计学与概率论::3区 [47/166],,中科院2025|JCR2024,STATISTICS & PROBABILITY(SCIE),1.3,Q2
Advances in Electrical and Computer Engineering,,,,工程技术,4区,否,SCIE,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE 计算机：人工智能::4区 [189/196] | ENGINEERING, ELECTRICAL & ELECTRONIC 工程：电子与电气::4区 [325/352]",,中科院2025|JCR2024,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(SCIE);ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE)",0.7,Q4
Advances in Electrical and Electronic Engineering,,,,工程技术,4区,否,ESCI,"ENGINEERING, ELECTRICAL & ELECTRONIC 工程：电子与电气::4区 [327/352]",,中科院2025,,,
Advances in Energy Research,,,,工程技术,4区,否,ESCI,ENERGY & FUELS 能源与燃料::4区 [166/171],,中科院2025,,,
ADVANCES IN ENGINEERING SOFTWARE,,,,工程技术,3区,否,SCIE,"COMPUTER SCIENCE, SOFTWARE ENGINEERING 计算机：软件工程::3区 [46/131] | ENGINEERING, MULTIDISCIPLINARY 工程：综合::3区 [38/179] | COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS 计算机：跨学科应用::4区 [73/172]",,中科院2025|JCR2024,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS(SCIE);COMPUTER SCIENCE, SOFTWARE ENGINEERING(SCIE);ENGINEERING, MULTIDISCIPLINARY(SCIE)",5.7,Q1
Advances in Human-Computer Interaction,,,,计算机科学,4区,否,ESCI,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE 计算机：人工智能::4区 [140/196]",,中科院2025|JCR2024,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(ESCI)",1.9,Q3
Advances in Industrial and Manufacturing Engineering,,,,工程技术,3区,否,ESCI,"ENGINEERING, INDUSTRIAL 工程：工业::4区 [40/70] | ENGINEERING, MANUFACTURING 工程：制造::4区 [38/70]",,中科院2025,,,
Advances in Manufacturing,,,,工程技术,3区,否,SCIE,"ENGINEERING, MANUFACTURING 工程：制造::3区 [23/70] | MATERIALS SCIENCE, MULTIDISCIPLINARY 材料科学：综合::3区 [143/436]",,中科院2025,,,
Advances in Mathematics of Communications,,,,计算机科学,4区,否,SCIE,"COMPUTER SCIENCE, THEORY & METHODS 计算机：理论方法::4区 [100/143] | MATHEMATICS, APPLIED 应用数学::4区 [222/330]",,中科院2025|JCR2024,"COMPUTER SCIENCE, THEORY & METHODS(SCIE);MATHEMATICS, APPLIED(SCIE)",0.7,Q3
Advances in Mechanical Engineering,,,,工程技术,4区,否,SCIE,"ENGINEERING, MECHANICAL 工程：机械::4区 [117/181] | THERMODYNAMICS 热力学::4区 [49/78]",,中科院2025,,,
Advances in Multimedia,,,,工程技术,4区,否,ESCI,"ENGINEERING, ELECTRICAL & ELECTRONIC 工程：电子与电气::4区 [333/352]",,中科院2025|JCR2024,"ENGINEERING, ELECTRICAL & ELECTRONIC(ESCI)",0.5,Q4
ADVANCES IN POLYMER TECHNOLOGY,,,,工程技术,4区,否,SCIE,"ENGINEERING, CHEMICAL 工程：化工::4区 [105/169] | POLYMER SCIENCE 高分子科学::4区 [64/94]",,中科院2025,,,
Advances in Production Engineering & Management,,,,工程技术,3区,否,SCIE,"MATERIALS SCIENCE, MULTIDISCIPLINARY 材料科学：综合::3区 [162/436] | ENGINEERING, MANUFACTURING 工程：制造::4区 [28/70]",,中科院2025,,,
Advances in Radio Science,,,,工程技术,4区,否,ESCI,"ENGINEERING, ELECTRICAL & ELECTRONIC 工程：电子与电气::4区 [326/352]",,中科院2025,,,
Advances in Science and Technology-Research Journal,,,,工程技术,4区,否,ESCI,"ENGINEERING, MULTIDISCIPLINARY 工程：综合::4区 [103/179]",,中科院2025,,,
ADVANCES IN STRUCTURAL ENGINEERING,,,,工程技术,4区,否,SCIE,"CONSTRUCTION & BUILDING TECHNOLOGY 结构与建筑技术::4区 [43/91] | ENGINEERING, CIVIL 工程：土木::4区 [88/180]",,中科院2025,,,
AERONAUTICAL JOURNAL,,,,工程技术,4区,否,SCIE,"ENGINEERING, AEROSPACE 工程：宇航::4区 [26/53]",,中科院2025,,,
Aerospace,,,,工程技术,3区,否,SCIE,"ENGINEERING, AEROSPACE 工程：宇航::3区 [15/53]",,中科院2025,,,
AEROSPACE AMERICA,,,,工程技术,4区,否,SCIE,"ENGINEERING, AEROSPACE 工程：宇航::4区 [49/53]",,中科院2025,,,
Aerospace Research in Bulgaria,,,,工程技术,4区,否,ESCI,"ENGINEERING, AEROSPACE 工程：宇航::4区 [53/53]",,中科院2025,,,
Aerospace Science and Technology,,,,工程技术,1区,是,SCIE,"ENGINEERING, AEROSPACE 工程：宇航::1区 [3/53]",,中科院2025,,,
AEU-INTERNATIONAL JOURNAL OF ELECTRONICS AND COMMUNICATIONS,,,,计算机科学,3区,否,SCIE,"ENGINEERING, ELECTRICAL & ELECTRONIC 工程：电子与电气::3区 [101/352] | TELECOMMUNICATIONS 电信学::3区 [36/119]",,中科院2025|JCR2024,"ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE);TELECOMMUNICATIONS(SCIE)",3.2,Q2
AI,,,,计算机科学,4区,否,ESCI,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE 计算机：人工智能::4区 [120/196] | COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS 计算机：跨学科应用::4区 [106/172]",,中科院2025|JCR2024,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(ESCI);COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS(ESCI)",5,Q1
AI & Society,,,,计算机科学,3区,否,ESCI,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE 计算机：人工智能::3区 [78/196]",,中科院2025|JCR2024,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(ESCI)",4.7,Q2
AI COMMUNICATIONS,,,,计算机科学,4区,否,SCIE,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE 计算机：人工智能::4区 [150/196]",,中科院2025|JCR2024,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(SCIE)",1,Q4
AI EDAM-ARTIFICIAL INTELLIGENCE FOR ENGINEERING DESIGN ANALYSIS AND MANUFACTURING,,,,工程技术,3区,否,SCIE,"ENGINEERING, MULTIDISCIPLINARY 工程：综合::3区 [45/179] | COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE 计算机：人工智能::4区 [93/196] | COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS 计算机：跨学科应用::4区 [83/172] | ENGINEERING, MANUFACTURING 工程：制造::4区 [32/70]",,中科院2025|JCR2024,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(SCIE);COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS(SCIE);ENGINEERING, MANUFACTURING(SCIE);ENGINEERING, MULTIDISCIPLINARY(SCIE)",2.3,Q2
AI MAGAZINE,,,,计算机科学,4区,否,SCIE,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE 计算机：人工智能::4区 [117/196]",,中科院2025|JCR2024,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(SCIE)",3.2,Q2
AIAA JOURNAL,,,,工程技术,3区,否,SCIE,"ENGINEERING, AEROSPACE 工程：宇航::3区 [16/53]",,中科院2025,,,
AICHE JOURNAL,,,,工程技术,3区,否,SCIE,"ENGINEERING, CHEMICAL 工程：化工::3区 [63/169]",,中科院2025,,,
AIMS Energy,,,,工程技术,4区,否,ESCI,ENERGY & FUELS 能源与燃料::4区 [145/171],,中科院2025,,,
Ain Shams Engineering Journal,,,,工程技术,2区,否,SCIE,"ENGINEERING, MULTIDISCIPLINARY 工程：综合::2区 [19/179]",,中科院2025,,,
AIRCRAFT ENGINEERING AND AEROSPACE TECHNOLOGY,,,,工程技术,4区,否,SCIE,"ENGINEERING, AEROSPACE 工程：宇航::4区 [33/53]",,中科院2025,,,
Akustika,,,,工程技术,4区,否,ESCI,ACOUSTICS 声学::4区 [40/40],,中科院2025,,,
Alexandria Engineering Journal,,,,工程技术,2区,否,SCIE,"ENGINEERING, MULTIDISCIPLINARY 工程：综合::2区 [17/179]",,中科院2025,,,
ALGORITHMICA,Algorithmica,B,计算机科学理论,计算机科学,4区,否,SCIE,"MATHEMATICS, APPLIED 应用数学::3区 [124/330] | COMPUTER SCIENCE, SOFTWARE ENGINEERING 计算机：软件工程::4区 [66/131]",,中科院2025|CCF2026|JCR2024,"COMPUTER SCIENCE, SOFTWARE ENGINEERING(SCIE);MATHEMATICS, APPLIED(SCIE)",0.7,Q3
Algorithms,,,,工程技术,4区,否,ESCI,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE 计算机：人工智能::4区 [135/196] | COMPUTER SCIENCE, THEORY & METHODS 计算机：理论方法::4区 [96/143]",,中科院2025|JCR2024,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(ESCI);COMPUTER SCIENCE, THEORY & METHODS(ESCI)",2.1,Q2
ANALOG INTEGRATED CIRCUITS AND SIGNAL PROCESSING,,,,工程技术,4区,否,SCIE,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE 计算机：硬件::4区 [50/58] | ENGINEERING, ELECTRICAL & ELECTRONIC 工程：电子与电气::4区 [232/352]",,中科院2025|JCR2024,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE(SCIE);ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE)",1.4,Q4
Analytic Methods in Accident Research,,,,工程技术,1区,是,SSCI,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH 公共卫生、环境卫生与职业卫生::1区 [4/404] | TRANSPORTATION 交通运输::1区 [1/58]",,中科院2025,,,
ANNALS OF MATHEMATICS AND ARTIFICIAL INTELLIGENCE,,,,计算机科学,4区,否,SCIE,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE 计算机：人工智能::4区 [122/196] | MATHEMATICS, APPLIED 应用数学::4区 [187/330]",,中科院2025|JCR2024,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(SCIE);MATHEMATICS, APPLIED(SCIE)",1,Q3
ANNALS OF NUCLEAR ENERGY,,,,工程技术,3区,否,SCIE,NUCLEAR SCIENCE & TECHNOLOGY 核科学技术::3区 [10/41],,中科院2025,,,
Annals of Pure and Applied Logic,APAL,C,计算机科学理论,,,,,,,CCF2026,,,
Annals of Telecommunications,,,,计算机科学,4区,否,SCIE,TELECOMMUNICATIONS 电信学::4区 [82/119],,中科院2025|JCR2024,TELECOMMUNICATIONS(SCIE),2.2,Q3
Annual Review of Chemical and Biomolecular Engineering,,,,工程技术,1区,是,SCIE,"CHEMISTRY, APPLIED 应用化学::1区 [3/74] | ENGINEERING, CHEMICAL 工程：化工::1区 [6/169]",,中科院2025,,,
Annual Review of Control Robotics and Autonomous Systems,,,,计算机科学,1区,是,SCIE,AUTOMATION & CONTROL SYSTEMS 自动化与控制系统::1区 [1/83] | ROBOTICS 机器人学::1区 [2/47],,中科院2025|JCR2024,AUTOMATION & CONTROL SYSTEMS(SCIE);ROBOTICS(SCIE),14,Q1
Annual Review of CyberTherapy and Telemedicine,,,,计算机科学,4区,否,ESCI,"COMPUTER SCIENCE, CYBERNETICS 计算机：控制论::4区 [31/32]",,中科院2025|JCR2024,"COMPUTER SCIENCE, CYBERNETICS(ESCI)",0.6,Q4
Annual Review of Fluid Mechanics,,,,工程技术,1区,是,SCIE,"MECHANICS 力学::1区 [1/171] | PHYSICS, FLUIDS & PLASMAS 物理：流体与等离子体::1区 [1/40]",,中科院2025,,,
ANNUAL REVIEWS IN CONTROL,,,,计算机科学,2区,否,SCIE,AUTOMATION & CONTROL SYSTEMS 自动化与控制系统::2区 [9/83],,中科院2025|JCR2024,AUTOMATION & CONTROL SYSTEMS(SCIE),10.7,Q1
APPLICABLE ALGEBRA IN ENGINEERING COMMUNICATION AND COMPUTING,,,,工程技术,3区,否,SCIE,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS 计算机：跨学科应用::4区 [105/172] | COMPUTER SCIENCE, THEORY & METHODS 计算机：理论方法::4区 [85/143] | MATHEMATICS, APPLIED 应用数学::4区 [184/330]",,中科院2025|JCR2024,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS(SCIE);COMPUTER SCIENCE, THEORY & METHODS(SCIE);MATHEMATICS, APPLIED(SCIE)",0.6,Q4
Applications in Energy and Combustion Science,,,,工程技术,3区,否,ESCI,"THERMODYNAMICS 热力学::2区 [19/78] | ENERGY & FUELS 能源与燃料::3区 [72/171] | ENGINEERING, CHEMICAL 工程：化工::3区 [49/169] | ENGINEERING, MECHANICAL 工程：机械::3区 [45/181]",,中科院2025,,,
Applications in Engineering Science,,,,工程技术,4区,否,ESCI,"ENGINEERING, MULTIDISCIPLINARY 工程：综合::4区 [65/179] | MECHANICS 力学::4区 [109/171]",,中科院2025,,,
APPLIED ARTIFICIAL INTELLIGENCE,,,,计算机科学,4区,否,SCIE,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE 计算机：人工智能::4区 [121/196] | ENGINEERING, ELECTRICAL & ELECTRONIC 工程：电子与电气::4区 [180/352]",,中科院2025|JCR2024,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(SCIE);ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE)",4.3,Q2
Applied Bionics and Biomechanics,,,,计算机科学,4区,否,SCIE,"ENGINEERING, BIOMEDICAL 工程：生物医学::4区 [113/120] | ROBOTICS 机器人学::4区 [43/47]",,中科院2025|JCR2024,"ENGINEERING, BIOMEDICAL(SCIE);ROBOTICS(SCIE)",0.6,Q4
Applied Chemistry for Engineering,,,,工程技术,4区,否,ESCI,"ENGINEERING, CHEMICAL 工程：化工::4区 [168/169]",,中科院2025,,,
APPLIED COMPUTATIONAL ELECTROMAGNETICS SOCIETY JOURNAL,,,,计算机科学,4区,否,SCIE,"ENGINEERING, ELECTRICAL & ELECTRONIC 工程：电子与电气::4区 [310/352] | TELECOMMUNICATIONS 电信学::4区 [107/119]",,中科院2025,,,
Applied Computational Intelligence and Soft Computing,,,,计算机科学,4区,否,ESCI,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE 计算机：人工智能::4区 [139/196]",,中科院2025|JCR2024,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(ESCI)",2.9,Q2
Applied Computer Systems,,,,计算机科学,4区,否,ESCI,"COMPUTER SCIENCE, THEORY & METHODS 计算机：理论方法::4区 [142/143]",,中科院2025|JCR2024,"COMPUTER SCIENCE, THEORY & METHODS(ESCI)",0.8,Q4
Applied Computing and Informatics,,,,计算机科学,4区,否,ESCI,"COMPUTER SCIENCE, INFORMATION SYSTEMS 计算机：信息系统::4区 [129/249]",,中科院2025|JCR2024,"COMPUTER SCIENCE, INFORMATION SYSTEMS(ESCI)",4.9,Q1
Applied Computing Review,,,,计算机科学,4区,否,ESCI,"COMPUTER SCIENCE, INFORMATION SYSTEMS 计算机：信息系统::4区 [222/249]",,中科院2025|JCR2024,"COMPUTER SCIENCE, INFORMATION SYSTEMS(ESCI)",0.9,Q4
APPLIED ENERGY,,,,工程技术,1区,是,SCIE,"ENGINEERING, CHEMICAL 工程：化工::1区 [7/169] | ENERGY & FUELS 能源与燃料::2区 [22/171]",,中科院2025,,,
APPLIED ERGONOMICS,,,,工程技术,2区,否,SSCI;SCIE,"ENGINEERING, INDUSTRIAL 工程：工业::3区 [19/70] | ERGONOMICS 人体工程学::3区 [5/24] | PSYCHOLOGY, APPLIED 心理学：应用::3区 [30/112]",,中科院2025,,,
APPLIED INTELLIGENCE,,C,人工智能,计算机科学,3区,否,SCIE,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE 计算机：人工智能::4区 [91/196]",,中科院2025|CCF2026|JCR2024,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(SCIE)",3.5,Q2
APPLIED MATHEMATICAL MODELLING,,,,工程技术,2区,否,SCIE,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS 数学跨学科应用::1区 [10/136] | ENGINEERING, MULTIDISCIPLINARY 工程：综合::2区 [21/179] | MECHANICS 力学::2区 [22/171]",,中科院2025,,,
APPLIED MATHEMATICS AND MECHANICS-ENGLISH EDITION,,,,工程技术,2区,否,SCIE,"MATHEMATICS, APPLIED 应用数学::2区 [53/330] | MECHANICS 力学::2区 [38/171]",,中科院2025,,,
Applied Mechanics Reviews,,,,工程技术,1区,是,SCIE,MECHANICS 力学::1区 [3/171],,中科院2025,,,
Applied Mobilities,,,,工程技术,4区,否,ESCI,GEOGRAPHY 地理学::4区 [89/171] | TRANSPORTATION 交通运输::4区 [44/58],,中科院2025,,,
Applied Network Science,,,,计算机科学,4区,否,ESCI,"COMPUTER SCIENCE, THEORY & METHODS 计算机：理论方法::4区 [87/143] | MULTIDISCIPLINARY SCIENCES 综合性期刊::4区 [44/131]",,中科院2025|JCR2024,"COMPUTER SCIENCE, THEORY & METHODS(ESCI);MULTIDISCIPLINARY SCIENCES(ESCI)",1.5,Q2
APPLIED OCEAN RESEARCH,,,,工程技术,2区,否,SCIE,"OCEANOGRAPHY 海洋学::1区 [3/66] | ENGINEERING, OCEAN 工程：大洋::2区 [3/18]",,中科院2025,,,
Applied Ontology,,,,计算机科学,3区,否,SCIE,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE 计算机：人工智能::3区 [82/196] | COMPUTER SCIENCE, THEORY & METHODS 计算机：理论方法::3区 [45/143] | COMPUTER SCIENCE, INFORMATION SYSTEMS 计算机：信息系统::4区 [96/249]",,中科院2025|JCR2024,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(SCIE);COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE);COMPUTER SCIENCE, THEORY & METHODS(SCIE)",3.5,Q2
APPLIED OPTICS,,,,工程技术,4区,否,SCIE,OPTICS 光学::4区 [68/119],,中科院2025,,,
Applied Radiation and Isotopes,,,,工程技术,3区,否,SCIE,"CHEMISTRY, INORGANIC & NUCLEAR 无机化学与核化学::2区 [13/44] | NUCLEAR SCIENCE & TECHNOLOGY 核科学技术::3区 [12/41] | RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING 核医学::4区 [101/206]",,中科院2025,,,
APPLIED RHEOLOGY,,,,工程技术,3区,否,SCIE,MECHANICS 力学::3区 [58/171],,中科院2025,,,
APPLIED SOFT COMPUTING,,,,计算机科学,2区,是,SCIE,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE 计算机：人工智能::2区 [25/196] | COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS 计算机：跨学科应用::2区 [16/172]",,中科院2025|JCR2024,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(SCIE);COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS(SCIE)",6.6,Q1
Applied System Innovation,,,,计算机科学,4区,否,ESCI,"ENGINEERING, ELECTRICAL & ELECTRONIC 工程：电子与电气::3区 [154/352] | COMPUTER SCIENCE, INFORMATION SYSTEMS 计算机：信息系统::4区 [121/249] | TELECOMMUNICATIONS 电信学::4区 [59/119]",,中科院2025|JCR2024,"COMPUTER SCIENCE, INFORMATION SYSTEMS(ESCI);ENGINEERING, ELECTRICAL & ELECTRONIC(ESCI);TELECOMMUNICATIONS(ESCI)",3.7,Q2
APPLIED THERMAL ENGINEERING,,,,工程技术,2区,是,SCIE,"THERMODYNAMICS 热力学::1区 [6/78] | ENGINEERING, MECHANICAL 工程：机械::2区 [20/181] | MECHANICS 力学::2区 [16/171] | ENERGY & FUELS 能源与燃料::3区 [42/171]",,中科院2025,,,
APSIPA Transactions on Signal and Information Processing,,,,工程技术,3区,否,ESCI,"ENGINEERING, ELECTRICAL & ELECTRONIC 工程：电子与电气::3区 [153/352]",,中科院2025|JCR2024,"ENGINEERING, ELECTRICAL & ELECTRONIC(ESCI)",3.2,Q2
Architectural Engineering and Design Management,,,,工程技术,3区,否,SCIE,"CONSTRUCTION & BUILDING TECHNOLOGY 结构与建筑技术::3区 [31/91] | ENGINEERING, CIVIL 工程：土木::3区 [63/180]",,中科院2025,,,
Architecture Civil Engineering Environment,,,,工程技术,4区,否,ESCI,"ENGINEERING, CIVIL 工程：土木::4区 [158/180]",,中科院2025,,,
ARCHIVE OF APPLIED MECHANICS,,,,工程技术,3区,否,SCIE,MECHANICS 力学::4区 [86/171],,中科院2025,,,
Archive of Mechanical Engineering,,,,工程技术,4区,否,ESCI,"ENGINEERING, MECHANICAL 工程：机械::4区 [143/181]",,中科院2025,,,
Archives for Technical Sciences,,,,工程技术,4区,否,ESCI,"ENGINEERING, GEOLOGICAL 工程：地质::4区 [63/65]",,中科院2025,,,
Archives of Civil and Mechanical Engineering,,,,工程技术,2区,否,SCIE,"ENGINEERING, CIVIL 工程：土木::2区 [36/180] | ENGINEERING, MECHANICAL 工程：机械::2区 [33/181] | MATERIALS SCIENCE, MULTIDISCIPLINARY 材料科学：综合::3区 [121/436]",,中科院2025,,,
Archives of Civil Engineering,,,,工程技术,4区,否,ESCI,"ENGINEERING, CIVIL 工程：土木::4区 [124/180]",,中科院2025,,,
ARCHIVES OF COMPUTATIONAL METHODS IN ENGINEERING,,,,工程技术,1区,是,SCIE,"ENGINEERING, MULTIDISCIPLINARY 工程：综合::1区 [4/179] | MATHEMATICS, INTERDISCIPLINARY APPLICATIONS 数学跨学科应用::1区 [4/136] | COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS 计算机：跨学科应用::2区 [11/172]",,中科院2025|JCR2024,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS(SCIE);ENGINEERING, MULTIDISCIPLINARY(SCIE);MATHEMATICS, INTERDISCIPLINARY APPLICATIONS(SCIE)",12.1,Q1
Archives of Control Sciences,,,,计算机科学,4区,否,SCIE,"AUTOMATION & CONTROL SYSTEMS 自动化与控制系统::4区 [53/83] | MATHEMATICS, APPLIED 应用数学::4区 [259/330]",,中科院2025|JCR2024,"AUTOMATION & CONTROL SYSTEMS(SCIE);MATHEMATICS, APPLIED(SCIE)",1.1,Q2
Archives of Electrical Engineering,,,,工程技术,4区,否,ESCI,"ENGINEERING, ELECTRICAL & ELECTRONIC 工程：电子与电气::4区 [264/352]",,中科院2025,,,
