期刊名称,简称,CCF等级,CCF领域,中科院大类,中科院大类分区,中科院 Top,WOS索引,中科院小类分区,特殊标注,数据来源,JCR类别,JCR影响因子2024,JCR分区2024
ACM Transactions on Internet of Things,TIOT,C,计算机网络,计算机科学,3区,否,ESCI,"ENGINEERING, ELECTRICAL & ELECTRONIC 工程：电子与电气::3区 [127/352] | TELECOMMUNICATIONS 电信学::3区 [46/119] | COMPUTER SCIENCE, INFORMATION SYSTEMS 计算机：信息系统::4区 [92/249]",,中科院2025|CCF2026|JCR2024,"COMPUTER SCIENCE, INFORMATION SYSTEMS(ESCI);ENGINEERING, ELECTRICAL & ELECTRONIC(ESCI);TELECOMMUNICATIONS(ESCI)",3.7,Q2
ACM Transactions on Internet Technology,TOIT,B,计算机网络,计算机科学,3区,否,SCIE,"COMPUTER SCIENCE, SOFTWARE ENGINEERING 计算机：软件工程::3区 [57/131] | COMPUTER SCIENCE, INFORMATION SYSTEMS 计算机：信息系统::4区 [107/249]",,中科院2025|CCF2026|JCR2024,"COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE);COMPUTER SCIENCE, SOFTWARE ENGINEERING(SCIE)",4.1,Q1
ACM Transactions on Knowledge Discovery from Data,TKDD,B,数据库/数据挖掘/内容检索,计算机科学,3区,否,SCIE,"COMPUTER SCIENCE, INFORMATION SYSTEMS 计算机：信息系统::3区 [68/249] | COMPUTER SCIENCE, SOFTWARE ENGINEERING 计算机：软件工程::3区 [35/131]",,中科院2025|CCF2026|JCR2024,"COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE);COMPUTER SCIENCE, SOFTWARE ENGINEERING(SCIE)",4.8,Q1
ACM Transactions on Management Information Systems,,,,计算机科学,4区,否,ESCI,"COMPUTER SCIENCE, INFORMATION SYSTEMS 计算机：信息系统::4区 [111/249]",,中科院2025|JCR2024,"COMPUTER SCIENCE, INFORMATION SYSTEMS(ESCI)",3.6,Q2
ACM Transactions on Mathematical Software,TOMS,B,计算机科学理论,,,,,,,CCF2026|JCR2024,"COMPUTER SCIENCE, SOFTWARE ENGINEERING(SCIE);MATHEMATICS, APPLIED(SCIE)",3.2,Q1
ACM Transactions on Modeling and Computer Simulation,,,,计算机科学,4区,否,SCIE,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS 计算机：跨学科应用::4区 [131/172] | MATHEMATICS, APPLIED 应用数学::4区 [263/330]",,中科院2025|JCR2024,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS(SCIE);MATHEMATICS, APPLIED(SCIE)",1.9,Q1
ACM Transactions on Modeling and Performance Evaluation of Computing Systems,,,,计算机科学,4区,否,ESCI,"COMPUTER SCIENCE, INFORMATION SYSTEMS 计算机：信息系统::4区 [217/249]",,中科院2025|JCR2024,"COMPUTER SCIENCE, INFORMATION SYSTEMS(ESCI)",1.6,Q3
ACM Transactions on Multimedia Computing Communications and Applications,TOMM,B,计算机网络,计算机科学,3区,否,SCIE,"COMPUTER SCIENCE, THEORY & METHODS 计算机：理论方法::2区 [30/143] | COMPUTER SCIENCE, INFORMATION SYSTEMS 计算机：信息系统::3区 [76/249] | COMPUTER SCIENCE, SOFTWARE ENGINEERING 计算机：软件工程::3区 [39/131]",,中科院2025|CCF2026|JCR2024,"COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE);COMPUTER SCIENCE, SOFTWARE ENGINEERING(SCIE);COMPUTER SCIENCE, THEORY & METHODS(SCIE)",6,Q1
ACM Transactions on Multimedia Computing Communications and Applications,TOMM,B,计算机图形学与多媒体,计算机科学,3区,否,SCIE,"COMPUTER SCIENCE, THEORY & METHODS 计算机：理论方法::2区 [30/143] | COMPUTER SCIENCE, INFORMATION SYSTEMS 计算机：信息系统::3区 [76/249] | COMPUTER SCIENCE, SOFTWARE ENGINEERING 计算机：软件工程::3区 [39/131]",,中科院2025|CCF2026|JCR2024,"COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE);COMPUTER SCIENCE, SOFTWARE ENGINEERING(SCIE);COMPUTER SCIENCE, THEORY & METHODS(SCIE)",6,Q1
ACM Transactions on Parallel Computing,,,,计算机科学,4区,否,ESCI,"COMPUTER SCIENCE, THEORY & METHODS 计算机：理论方法::4区 [78/143]",,中科院2025|JCR2024,"COMPUTER SCIENCE, THEORY & METHODS(ESCI)",1.2,Q3
ACM Transactions on Privacy and Security,TOPS,B,网络与信息安全,计算机科学,3区,否,SCIE,"COMPUTER SCIENCE, INFORMATION SYSTEMS 计算机：信息系统::3区 [83/249]",,中科院2025|CCF2026|JCR2024,"COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE)",2.8,Q2
ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS,TOPLAS,A,软件工程/系统软件/程序设计语言,计算机科学,2区,否,SCIE,"COMPUTER SCIENCE, SOFTWARE ENGINEERING 计算机：软件工程::2区 [15/131]",,中科院2025|CCF2026|JCR2024,"COMPUTER SCIENCE, SOFTWARE ENGINEERING(SCIE)",1.6,Q3
ACM Transactions on Recommender Systems,TORS,C,数据库/数据挖掘/内容检索,,,,,,,CCF2026,,,
ACM Transactions on Reconfigurable Technology and Systems,TRETS,B,计算机体系结构/并行与分布计算/存储系统,计算机科学,3区,否,SCIE,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE 计算机：硬件::2区 [13/58]",,中科院2025|CCF2026|JCR2024,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE(SCIE)",2.8,Q2
ACM Transactions on Sensor Networks,TOSN,B,计算机网络,计算机科学,4区,否,SCIE,"COMPUTER SCIENCE, INFORMATION SYSTEMS 计算机：信息系统::4区 [113/249] | TELECOMMUNICATIONS 电信学::4区 [55/119]",,中科院2025|CCF2026|JCR2024,"COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE);TELECOMMUNICATIONS(SCIE)",4.7,Q1
ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY,TOSEM,A,软件工程/系统软件/程序设计语言,计算机科学,1区,是,SCIE,"COMPUTER SCIENCE, SOFTWARE ENGINEERING 计算机：软件工程::1区 [4/131]",,中科院2025|CCF2026|JCR2024,"COMPUTER SCIENCE, SOFTWARE ENGINEERING(SCIE)",6.2,Q1
ACM Transactions on Storage,TOS,A,计算机体系结构/并行与分布计算/存储系统,计算机科学,3区,否,SCIE,"COMPUTER SCIENCE, SOFTWARE ENGINEERING 计算机：软件工程::2区 [33/131] | COMPUTER SCIENCE, HARDWARE & ARCHITECTURE 计算机：硬件::3区 [16/58]",,中科院2025|CCF2026|JCR2024,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE(SCIE);COMPUTER SCIENCE, SOFTWARE ENGINEERING(SCIE)",2.6,Q2
ACM Transactions on the Web,TWEB,B,数据库/数据挖掘/内容检索,计算机科学,4区,否,SCIE,"COMPUTER SCIENCE, INFORMATION SYSTEMS 计算机：信息系统::4区 [156/249] | COMPUTER SCIENCE, SOFTWARE ENGINEERING 计算机：软件工程::4区 [88/131]",,中科院2025|CCF2026|JCR2024,"COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE);COMPUTER SCIENCE, SOFTWARE ENGINEERING(SCIE)",4.1,Q1
Acoustical Science and Technology,,,,工程技术,4区,否,ESCI,ACOUSTICS 声学::4区 [32/40],,中科院2025,,,
Acoustics,,,,工程技术,4区,否,ESCI,ACOUSTICS 声学::4区 [21/40],,中科院2025,,,
ACS Engineering Au,,,,工程技术,3区,否,ESCI,"ENGINEERING, CHEMICAL 工程：化工::3区 [67/169]",,中科院2025,,,
Acta Cybernetica,,,,计算机科学,4区,否,ESCI,"COMPUTER SCIENCE, CYBERNETICS 计算机：控制论::4区 [29/32]",,中科院2025,,,
Acta Geotechnica,,,,工程技术,1区,是,SCIE,"ENGINEERING, GEOLOGICAL 工程：地质::1区 [4/65]",,中科院2025,,,
Acta Geotechnica Slovenica,,,,工程技术,4区,否,SCIE,"ENGINEERING, GEOLOGICAL 工程：地质::4区 [57/65]",,中科院2025,,,
ACTA INFORMATICA,ACTA,C,计算机科学理论,计算机科学,4区,否,SCIE,"COMPUTER SCIENCE, INFORMATION SYSTEMS 计算机：信息系统::4区 [165/249]",,中科院2025|CCF2026|JCR2024,"COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE)",0.5,Q4
ACTA MECHANICA,,,,工程技术,3区,否,SCIE,MECHANICS 力学::4区 [83/171],,中科院2025,,,
Acta Mechanica et Automatica,,,,工程技术,4区,否,ESCI,"ENGINEERING, MECHANICAL 工程：机械::4区 [161/181]",,中科院2025,,,
ACTA MECHANICA SINICA,,,,工程技术,2区,否,SCIE,"ENGINEERING, MECHANICAL 工程：机械::2区 [39/181] | MECHANICS 力学::2区 [40/171]",中国SCI期刊支持计划,中科院2025,,,
